Y1_STATEFIPS,Y1_COUNTYFIPS,Y2_STATEFIPS,Y2_COUNTYFIPS,Y2_STATE,Y2_COUNTYNAME,N1,N2,AGI,n_returns,n_individuals,agi_thousands,origin_fips5,dest_fips5,mean_agi
36,047,12,031,FL,Duval County,159,287,11038,159,287,11038,36047,12031,69421.38364779874
36,047,12,103,FL,Pinellas County,137,220,12703,137,220,12703,36047,12103,92722.62773722627
36,047,12,101,FL,Pasco County,133,238,9625,133,238,9625,36047,12101,72368.42105263157
36,047,12,071,FL,Lee County,131,204,8977,131,204,8977,36047,12071,68526.7175572519
36,047,12,117,FL,Seminole County,120,207,7109,120,207,7109,36047,12117,59241.666666666664
36,047,12,009,FL,Brevard County,118,183,6591,118,183,6591,36047,12009,55855.93220338983
36,047,12,111,FL,St. Lucie County,118,200,8752,118,200,8752,36047,12111,74169.49152542373
36,047,12,115,FL,Sarasota County,114,194,12827,114,194,12827,36047,12115,112517.54385964913
36,047,12,069,FL,Lake County,104,174,5620,104,174,5620,36047,12069,54038.46153846154
36,047,12,127,FL,Volusia County,98,153,4539,98,153,4539,36047,12127,46316.32653061225
36,047,12,083,FL,Marion County,75,152,3966,75,152,3966,36047,12083,52880.0
36,047,12,021,FL,Collier County,67,110,11252,67,110,11252,36047,12021,167940.2985074627
36,047,12,109,FL,St. Johns County,61,130,8453,61,130,8453,36047,12109,138573.77049180327
36,047,12,081,FL,Manatee County,58,99,8528,58,99,8528,36047,12081,147034.4827586207
36,047,12,001,FL,Alachua County,46,66,2155,46,66,2155,36047,12001,46847.82608695652
36,047,12,053,FL,Hernando County,38,71,2073,38,71,2073,36047,12053,54552.63157894737
36,047,12,035,FL,Flagler County,37,67,1970,37,67,1970,36047,12035,53243.24324324324
36,047,12,019,FL,Clay County,30,55,1675,30,55,1675,36047,12019,55833.333333333336
36,047,12,005,FL,Bay County,22,32,696,22,32,696,36047,12005,31636.363636363636
36,047,12,015,FL,Charlotte County,22,26,1220,22,26,1220,36047,12015,55454.545454545456
36,047,12,033,FL,Escambia County,22,31,1555,22,31,1555,36047,12033,70681.81818181818
36,047,12,085,FL,Martin County,22,27,1839,22,27,1839,36047,12085,83590.90909090909
36,047,12,017,FL,Citrus County,20,37,1504,20,37,1504,36047,12017,75200.0
36,047,12,119,FL,Sumter County,20,25,2956,20,25,2956,36047,12119,147800.0
36,055,12,057,FL,Hillsborough County,157,250,10616,157,250,10616,36055,12057,67617.83439490446
