NAME,median_home_value,median_gross_rent,population,median_hh_income,nh_white,total_race_eth,housing_units_occupied,owner_occupied_units,renter_occupied_units,state,county,county_fips5,pct_nh_white,pct_owner_occupied,owner_to_renter_ratio,affordability_index,lat,lon,land_sqmi,pop_density,log_pop_density,dem_two_party_share
"Sullivan County, New York",220200,996,78725,67841,53685,78725,29895,20660,9235,36,105,36105,0.6819307716735472,0.6910854657969561,2.23714131023281,0.014681387361624975,41.719993,,968.1450408954593,81.31529540985457,4.410556939866607,0.45350471394273
"Tioga County, New York",144200,894,48344,70427,45237,48344,20312,15821,4491,36,107,36107,0.9357314247890121,0.7788991729027176,3.522823424627032,0.012693995200704276,42.178057,,518.7668656230604,93.19022320736862,4.545316388588459,0.39443193449334696
"Tompkins County, New York",264300,1320,102555,69995,78456,102555,42984,23328,19656,36,109,36109,0.7650138949831797,0.542713567839196,1.1868131868131868,0.018858489892135153,42.453006,,474.64188893149793,216.06816084199664,5.380211409482387,0.7518506094151851
"Ulster County, New York",288400,1269,182153,77197,136031,182153,72265,49975,22290,36,111,36111,0.7467952764983283,0.6915519269355843,2.2420367877972183,0.016438462634558337,41.947212,,1124.2359578331257,162.02381602442716,5.093896300712959,0.6066345751360401
"Warren County, New York",240600,1062,65684,74531,60549,65684,29782,21036,8746,36,113,36113,0.9218226660982888,0.7063326841716473,2.405213812028356,0.014249104399511613,43.555105,,867.217245143498,75.74111373803608,4.340437597849224,0.4991935712062477
"Washington County, New York",176900,964,61310,68703,55784,61310,24235,17916,6319,36,115,36115,0.9098678845212853,0.7392613988033835,2.8352587434720684,0.014031410564313057,43.312377,,831.1673869887873,73.76372191661449,4.314332766214569,0.4204537191885407
"Wayne County, New York",151900,877,91324,71007,80606,91324,37756,30116,7640,36,117,36117,0.882637641802812,0.797648055938129,3.9418848167539267,0.012350894982184855,43.218114,,603.8301731034252,151.24120003913393,5.025466105505,0.3998167659184608
"Westchester County, New York",619000,1796,997904,114651,511083,997904,367740,229004,138736,36,119,36119,0.5121564799820424,0.6227334529830859,1.6506458309306884,0.01566493096440502,41.152686,,430.723312029134,2316.8098222937656,7.748377976657195,0.6833995501920872
"Wyoming County, New York",143000,787,40338,65066,35787,40338,16152,12457,3695,36,121,36121,0.8871783430016362,0.7712357602773651,3.371312584573748,0.012095410813635386,42.701363,,592.7515388481206,68.0521219369381,4.234861609823943,0.26740814928048073
"Yates County, New York",159800,773,24713,63974,23372,24713,8882,6862,2020,36,123,36123,0.9457370614656254,0.7725737446521054,3.397029702970297,0.01208303373245381,42.638237,,338.1394765887111,73.08522580479162,4.305216130571172,0.4046226143665484
"Alachua County, Florida",245600,1191,279729,57566,166674,279729,108597,59226,49371,12,001,12001,0.5958409746576151,0.5453741816072267,1.1996111077353102,0.020689295764861202,29.67574,,875.6345756760198,319.45860495976837,5.769753110327321,0.6376638516875658
"Baker County, Florida",198900,959,27969,67872,21842,27969,9004,7186,1818,12,003,12003,0.7809360363259323,0.7980897378942692,3.9526952695269526,0.014129537953795379,30.324442,,585.2300888761079,47.79145934501154,3.887555284120571,0.14604244336105535
"Bay County, Florida",246800,1311,181055,65999,135743,181055,74678,51208,23470,12,005,12005,0.749733506393085,0.6857173464741959,2.181849169152109,0.019863937332383824,30.15914,,758.6421057914031,238.6566717268169,5.47920736467908,0.2792903795618846
"Bradford County, Florida",153900,902,27816,54759,20183,27816,9067,6168,2899,12,007,12007,0.7255895887259132,0.6802691077533914,2.127630217316316,0.016472178089446482,29.952386,,293.9635583505548,94.62397365196236,4.5604235590377264,0.23417815325329777
"Brevard County, Florida",278000,1327,610723,71308,439832,610723,246650,189103,57547,12,009,12009,0.7201824722501036,0.7666855868639773,3.286061827723426,0.018609412688618387,28.298311,,1014.9709241943083,601.7147737358059,6.401444072774941,0.41676673250437674
"Broward County, Florida",348600,1683,1940907,70331,641300,1940907,741973,466131,275842,12,011,12011,0.3304125339338773,0.6282317550638635,1.6898478114282813,0.02392970382903698,26.193535,,1202.7306455842697,1613.7503497777213,7.386935641526723,0.6498396804742055
"Calhoun County, Florida",118100,610,13753,41526,10349,13753,4448,3406,1042,12,013,12013,0.7524903657383843,0.7657374100719424,3.2687140115163147,0.014689592062804027,30.388801,,567.3364256523073,24.24134848064302,3.2284834625788013,0.18648773715872283
"Charlotte County, Florida",265800,1206,189900,62164,156277,189900,84671,69787,14884,12,015,12015,0.8229436545550289,0.8242137213449705,4.688726148884708,0.019400295991248956,26.906396,,681.1189120752929,278.8059421539126,5.634096299153526,0.3659493057238824
