Y1_STATEFIPS,Y1_COUNTYFIPS,Y2_STATEFIPS,Y2_COUNTYFIPS,Y2_STATE,Y2_COUNTYNAME,N1,N2,AGI,n_returns,n_individuals,agi_thousands,origin_fips5,dest_fips5,mean_agi,o_NAME,o_median_home_value,o_median_gross_rent,o_population,o_median_hh_income,o_nh_white,o_total_race_eth,o_housing_units_occupied,o_owner_occupied_units,o_renter_occupied_units,o_state,o_county,o_pct_nh_white,o_pct_owner_occupied,o_owner_to_renter_ratio,o_affordability_index,o_lat,o_lon,o_land_sqmi,o_pop_density,o_log_pop_density,o_dem_two_party_share,d_NAME,d_median_home_value,d_median_gross_rent,d_population,d_median_hh_income,d_nh_white,d_total_race_eth,d_housing_units_occupied,d_owner_occupied_units,d_renter_occupied_units,d_state,d_county,d_pct_nh_white,d_pct_owner_occupied,d_owner_to_renter_ratio,d_affordability_index,d_lat,d_lon,d_land_sqmi,d_pop_density,d_log_pop_density,d_dem_two_party_share,distance_km_haversine,distance_km,distance_km_source,abs_diff_dem_two_party_share,abs_diff_pct_nh_white,abs_diff_median_home_value,abs_diff_median_gross_rent,abs_diff_log_pop_density,abs_diff_affordability_index,abs_diff_pct_owner_occupied,abs_diff_owner_to_renter_ratio,dest_more_dem,dest_lower_rent_than_origin,dest_lower_rent_pressure_than_origin,o_housing_pred,d_housing_pred,dyadic_housing_gap,o_affordability_pred,d_affordability_pred,dyadic_affordability_gap,log_distance_km,log_o_population,log_d_population,origin_county_label,dest_county_label
36,1,12,105,FL,Polk County,22,45,1373,22,45,1373,36001,12105,62409.09090909091,"Albany County, New York",263800,1196,315041,78829,220111,315041,132175,74707,57468,36,1,0.6986741408261147,0.5652127860790619,1.2999756386162733,0.0151720813406233,42.58824,,522.8878911047625,602.5019996817642,6.402749354006437,0.6607153531931852,"Polk County, Florida",215700,1192,736229,60901,400555,736229,264145,184335,79810,12,105,0.544063056467485,0.6978553446023964,2.3096729733116153,0.0195727492159406,27.953649,,1797.763617299367,409.5249191359076,6.017436631400615,0.427073181503673,20015.114442035923,20015.114442035923,haversine,0.23364217168951218,0.1546110843586297,48100,4,0.3853127226058213,0.004400667875317298,0.1326425585233345,1.009697334695342,0.0,1.0,0.0,338866.9061127994,238168.25252842603,-100698.65358437339,0.0158098014568658,0.0213774601983936,0.005567658741527801,9.904292950218121,12.660461242253005,13.509297848893059,"Albany, NY","Polk, FL"
36,1,12,81,FL,Manatee County,21,28,2454,21,28,2454,36001,12081,116857.14285714286,"Albany County, New York",263800,1196,315041,78829,220111,315041,132175,74707,57468,36,1,0.6986741408261147,0.5652127860790619,1.2999756386162733,0.0151720813406233,42.58824,,522.8878911047625,602.5019996817642,6.402749354006437,0.6607153531931852,"Manatee County, Florida",323900,1418,405069,71385,282634,405069,161656,121011,40645,12,81,0.6977428536866559,0.7485710397387044,2.9772665764546686,0.0198641171114379,27.475556,,742.7617348214128,545.3552344041975,6.303269376650273,0.4190785162186909,20015.114442035923,20015.114442035923,haversine,0.24163683697449428,0.0009312871394587807,60100,222,0.09947997735616365,0.0046920357708146,0.18335825365964253,1.6772909378383953,0.0,0.0,0.0,338866.9061127994,277098.78318180155,-61768.122930997866,0.0158098014568658,0.0189220095347997,0.0031122080779339006,9.904292950218121,12.660461242253005,12.911815170659823,"Albany, NY","Manatee, FL"
36,1,12,101,FL,Pasco County,21,43,1943,21,43,1943,36001,12101,92523.80952380953,"Albany County, New York",263800,1196,315041,78829,220111,315041,132175,74707,57468,36,1,0.6986741408261147,0.5652127860790619,1.2999756386162733,0.0151720813406233,42.58824,,522.8878911047625,602.5019996817642,6.402749354006437,0.6607153531931852,"Pasco County, Florida",233600,1282,569211,63187,400621,569211,223385,166566,56819,12,101,0.7038180920607648,0.7456454103901337,2.93151938612084,0.0202889834934401,28.309823,,746.6186366968055,762.3852017923188,6.637762755517952,0.3986454364667519,20015.114442035923,20015.114442035923,haversine,0.2620699167264333,0.005143951234650168,30200,86,0.23501340151151506,0.0051169021528168004,0.18043262431107177,1.6315437475045667,0.0,0.0,0.0,338866.9061127994,237121.22143904772,-101745.6846737517,0.0158098014568658,0.019351350926422,0.003541549469556201,9.904292950218121,12.660461242253005,13.252008227196269,"Albany, NY","Pasco, FL"
36,1,12,127,FL,Volusia County,21,36,1838,21,36,1838,36001,12127,87523.80952380953,"Albany County, New York",263800,1196,315041,78829,220111,315041,132175,74707,57468,36,1,0.6986741408261147,0.5652127860790619,1.2999756386162733,0.0151720813406233,42.58824,,522.8878911047625,602.5019996817642,6.402749354006437,0.6607153531931852,"Volusia County, Florida",251400,1271,558520,63075,385498,558520,232673,167784,64889,12,127,0.6902134211845592,0.7211150412811113,2.5857079011851005,0.0201506143479984,29.057769,,1101.3119282736627,507.140607180652,6.230758195069047,0.4289642439453869,20015.114442035923,20015.114442035923,haversine,0.2317511092477983,0.00846071964155548,12400,75,0.1719911589373897,0.004978533007375101,0.15590225520204937,1.2857322625688272,0.0,0.0,0.0,338866.9061127994,235767.03272216124,-103099.87339063818,0.0158098014568658,0.01896931327065,0.0031595118137842,9.904292950218121,12.660461242253005,13.233047497500708,"Albany, NY","Volusia, FL"
36,5,12,95,FL,Orange County,517,983,23644,517,983,23644,36005,12095,45733.07543520309,"Bronx County, New York",501400,1401,1443229,47036,123902,1443229,525387,104887,420500,36,5,0.0858505476261909,0.1996376004735557,0.2494340071343638,0.0297856960625903,40.848711,,42.17185807305897,34222.561346472685,10.440669614107996,0.8399013031948837,"Orange County, Florida",329000,1553,1427403,72629,535722,1427403,491378,279925,211453,12,95,0.3753123679857755,0.5696734489537586,1.3238166401044205,0.0213826432967547,28.514391,,902.0235848483952,1582.4453195865228,7.367358334019368,0.6168123020805356,20015.114442035923,20015.114442035923,haversine,0.22308900111434804,0.28946182035958457,172400,152,3.073311280088628,0.008403052765835601,0.3700358484802029,1.0743826329700568,0.0,0.0,1.0,375134.95236544,449066.31134378846,73931.35897834843,0.0218467491548128,0.0218467491548128,0.0,9.904292950218121,14.182394215214137,14.171367967813062,"Bronx, NY","Orange, FL"
36,5,12,11,FL,Broward County,430,713,23362,430,713,23362,36005,12011,54330.232558139534,"Bronx County, New York",501400,1401,1443229,47036,123902,1443229,525387,104887,420500,36,5,0.0858505476261909,0.1996376004735557,0.2494340071343638,0.0297856960625903,40.848711,,42.17185807305897,34222.561346472685,10.440669614107996,0.8399013031948837,"Broward County, Florida",348600,1683,1940907,70331,641300,1940907,741973,466131,275842,12,11,0.3304125339338773,0.6282317550638635,1.689847811428281,0.0239297038290369,26.193535,,1202.7306455842695,1613.750349777721,7.386935641526723,0.6498396804742055,20015.114442035923,20015.114442035923,haversine,0.19006162272067817,0.2445619863076864,152800,282,3.0537339725812735,0.0058559922335534,0.4285941545903078,1.4404138042939172,0.0,0.0,1.0,375134.95236544,446799.50582420494,71664.55345876492,0.0218467491548128,0.0218467491548128,0.0,9.904292950218121,14.182394215214137,14.47866646277949,"Bronx, NY","Broward, FL"
36,5,12,86,FL,Miami-Dade County,378,567,21794,378,567,21794,36005,12086,57656.084656084655,"Bronx County, New York",501400,1401,1443229,47036,123902,1443229,525387,104887,420500,36,5,0.0858505476261909,0.1996376004735557,0.2494340071343638,0.0297856960625903,40.848711,,42.17185807305897,34222.561346472685,10.440669614107996,0.8399013031948837,"Miami-Dade County, Florida",387000,1623,2688237,64215,350398,2688237,952680,494141,458539,12,86,0.130344906345683,0.5186851828525842,1.0776422507136798,0.0252744685821069,25.616009,,1899.9040850274912,1414.933006979193,7.255543961679071,0.5369476065376029,20015.114442035923,20015.114442035923,haversine,0.3029536966572808,0.04449435871949209,114400,222,3.1851256524289253,0.004511227480483403,0.3190475823790285,0.828208243579316,0.0,0.0,1.0,375134.95236544,446799.50582420494,71664.55345876492,0.0218467491548128,0.0218467491548128,0.0,9.904292950218121,14.182394215214137,14.804396518372261,"Bronx, NY","Miami-Dade, FL"
36,5,12,97,FL,Osceola County,378,724,17252,378,724,17252,36005,12097,45640.21164021164,"Bronx County, New York",501400,1401,1443229,47036,123902,1443229,525387,104887,420500,36,5,0.0858505476261909,0.1996376004735557,0.2494340071343638,0.0297856960625903,40.848711,,42.17185807305897,34222.561346472685,10.440669614107996,0.8399013031948837,"Osceola County, Florida",285200,1537,393745,64312,112392,393745,119817,78747,41070,12,97,0.2854436246809483,0.6572272715891735,1.9173849525200877,0.0238991168055728,28.059027,,1327.5462208797337,296.5960761344147,5.695737117839805,0.5697312870000059,20015.114442035923,20015.114442035923,haversine,0.2701700161948778,0.1995930770547574,216200,136,4.744932496268191,0.0058865792570175005,0.45758967111561777,1.6679509453857237,0.0,0.0,1.0,375134.95236544,316947.0285819956,-58187.92378344445,0.0218467491548128,0.0228441630166149,0.000997413861802101,9.904292950218121,14.182394215214137,12.883461310340222,"Bronx, NY","Osceola, FL"
36,5,12,57,FL,Hillsborough County,343,622,17400,343,622,17400,36005,12057,50728.86297376093,"Bronx County, New York",501400,1401,1443229,47036,123902,1443229,525387,104887,420500,36,5,0.0858505476261909,0.1996376004735557,0.2494340071343638,0.0297856960625903,40.848711,,42.17185807305897,34222.561346472685,10.440669614107996,0.8399013031948837,"Hillsborough County, Florida",294900,1413,1468560,70612,679457,1468560,559970,338533,221437,12,57,0.4626688729095168,0.6045556011929211,1.528800516625496,0.0200107630431088,27.88761,,1021.8891879996488,1437.1029826381769,7.27108015090324,0.5347907327019673,20015.114442035923,20015.114442035923,haversine,0.30511057049291634,0.37681832528332593,206500,12,3.1695894632047565,0.009774933019481503,0.40491800071936535,1.2793665094911324,0.0,0.0,1.0,375134.95236544,370635.8946304291,-4499.057735010923,0.0218467491548128,0.0218467491548128,0.0,9.904292950218121,14.182394215214137,14.199793567743452,"Bronx, NY","Hillsborough, FL"
36,5,12,105,FL,Polk County,328,618,14065,328,618,14065,36005,12105,42881.09756097561,"Bronx County, New York",501400,1401,1443229,47036,123902,1443229,525387,104887,420500,36,5,0.0858505476261909,0.1996376004735557,0.2494340071343638,0.0297856960625903,40.848711,,42.17185807305897,34222.561346472685,10.440669614107996,0.8399013031948837,"Polk County, Florida",215700,1192,736229,60901,400555,736229,264145,184335,79810,12,105,0.544063056467485,0.6978553446023964,2.3096729733116153,0.0195727492159406,27.953649,,1797.763617299367,409.5249191359076,6.017436631400615,0.427073181503673,20015.114442035923,20015.114442035923,haversine,0.41282812169121064,0.45821250884129405,285700,209,4.423232982707381,0.010212946846649702,0.4982177441288407,2.0602389661772516,0.0,1.0,1.0,375134.95236544,238168.25252842603,-136966.699837014,0.0218467491548128,0.0213774601983936,-0.00046928895641919904,9.904292950218121,14.182394215214137,13.509297848893059,"Bronx, NY","Polk, FL"
